63 epoch, LR 0.000151, LOSS 0.904773, ACC 83.60%, EER 0.96%, bestEER 0.93%
64 epoch, LR 0.000147, LOSS 0.899646, ACC 83.66%, EER 0.99%, bestEER 0.93%
65 epoch, LR 0.000142, LOSS 0.898102, ACC 83.68%, EER 0.99%, bestEER 0.93%
66 epoch, LR 0.000138, LOSS 0.896448, ACC 83.75%, EER 0.96%, bestEER 0.93%
67 epoch, LR 0.000134, LOSS 0.892511, ACC 83.84%, EER 0.95%, bestEER 0.93%
68 epoch, LR 0.000130, LOSS 0.889023, ACC 83.83%, EER 0.97%, bestEER 0.93%
69 epoch, LR 0.000126, LOSS 0.888318, ACC 83.90%, EER 1.01%, bestEER 0.93%
70 epoch, LR 0.000122, LOSS 0.882097, ACC 83.99%, EER 0.97%, bestEER 0.93%
71 epoch, LR 0.000119, LOSS 0.879914, ACC 83.99%, EER 0.99%, bestEER 0.93%
72 epoch, LR 0.000115, LOSS 0.873575, ACC 84.12%, EER 1.00%, bestEER 0.93%
73 epoch, LR 0.000112, LOSS 0.875003, ACC 84.11%, EER 0.98%, bestEER 0.93%
74 epoch, LR 0.000108, LOSS 0.874323, ACC 84.14%, EER 0.97%, bestEER 0.93%
75 epoch, LR 0.000105, LOSS 0.870200, ACC 84.20%, EER 0.96%, bestEER 0.93%
76 epoch, LR 0.000102, LOSS 0.866824, ACC 84.23%, EER 0.96%, bestEER 0.93%
77 epoch, LR 0.000099, LOSS 0.865669, ACC 84.27%, EER 0.96%, bestEER 0.93%
78 epoch, LR 0.000096, LOSS 0.866848, ACC 84.25%, EER 0.93%, bestEER 0.93%
79 epoch, LR 0.000093, LOSS 0.862504, ACC 84.34%, EER 0.96%, bestEER 0.93%
80 epoch, LR 0.000090, LOSS 0.861317, ACC 84.40%, EER 0.97%, bestEER 0.93%
81 epoch, LR 0.000087, LOSS 0.859304, ACC 84.42%, EER 0.97%, bestEER 0.93%
82 epoch, LR 0.000085, LOSS 0.854406, ACC 84.46%, EER 0.96%, bestEER 0.93%
83 epoch, LR 0.000082, LOSS 0.850347, ACC 84.56%, EER 0.97%, bestEER 0.93%
84 epoch, LR 0.000080, LOSS 0.854444, ACC 84.48%, EER 0.94%, bestEER 0.93%
85 epoch, LR 0.000077, LOSS 0.847300, ACC 84.58%, EER 0.94%, bestEER 0.93%
86 epoch, LR 0.000075, LOSS 0.845545, ACC 84.63%, EER 0.96%, bestEER 0.93%
